ISO3,country,adm1_name,adm2_name,mkt_name,geo_id,price_date,year,month,lat,lon,currency,spatially_interpolated,price_open,price_high,price_low,price_close,trust_score,fuel_inflation_mom,post_subsidy_regime,is_national_avg,spread,momentum,spread_pct,price_close_lag1,price_close_lag3,price_close_lag6,price_close_lag12,rolling_mean_3m,rolling_mean_12m,rolling_std_12m,mom_change_pct,yoy_change_pct,trust_weighted_close,month_sin,month_cos,pelt_regime
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2007-01-01,2007,1,10.17,12.74,NGN,0,83.71,86.25,81.8,84.22,9.7,2.02,0,0,4.450000000000003,0.5100000000000051,5.316,,,,,84.22,84.22,,,,816.934,0.499999999481858,0.8660254040835881,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2007-02-01,2007,2,10.17,12.74,NGN,0,84.54,86.77,82.3,84.06,9.7,2.02,0,0,4.469999999999999,-0.480000000000004,5.2874,84.22,,,,84.14,84.14,0.11313708498984519,-0.19,,815.382,0.8660254031861399,0.500000001036284,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2007-03-01,2007,3,10.17,12.74,NGN,0,84.74,87.01,82.64,87.01,9.7,2.02,0,0,4.3700000000000045,2.2700000000000102,5.157,84.06,,,,85.09666666666668,85.09666666666668,1.6589253549612617,3.5094,,843.997,1.0,1.7948967369654108e-09,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2007-04-01,2007,4,10.17,12.74,NGN,0,87.94,90.09,85.79,88.18,9.7,2.02,0,0,4.299999999999997,0.2400000000000091,4.8897,87.01,84.22,,,86.41666666666667,85.8675,2.052175674741326,1.3447,,855.346,0.8660254049810362,-0.49999999792743216,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2007-05-01,2007,5,10.17,12.74,NGN,0,89.35,91.41,87.3,88.13,9.7,2.02,0,0,4.109999999999999,-1.2199999999999989,4.5999,88.18,84.06,,,87.77333333333333,86.32000000000001,2.0450794605589295,-0.0567,,854.8609999999999,0.5000000025907099,-0.8660254022886916,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2007-06-01,2007,6,10.17,12.74,NGN,0,88.89,90.87,86.56,86.56,9.7,2.02,0,0,4.310000000000002,-2.3299999999999983,4.8487,88.13,87.01,,,87.62333333333333,86.36000000000001,1.8317969319769045,-1.7815,,839.632,3.5897934739308216e-09,-1.0,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2007-07-01,2007,7,10.17,12.74,NGN,0,87.25,89.21,85.28,87.53,9.7,2.02,0,0,3.9299999999999926,0.28000000000000114,4.5043,86.56,88.18,84.22,,87.40666666666668,86.52714285714286,1.7296792986535028,1.1206,,849.0409999999999,-0.4999999963730056,-0.8660254058784849,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2007-08-01,2007,8,10.17,12.74,NGN,0,87.98,89.88,86.09,88.53,9.7,2.02,0,0,3.789999999999992,0.5499999999999972,4.3078,87.53,88.13,84.06,,87.54,86.7775,1.7509487224277656,1.1425,,858.741,-0.8660254013912434,-0.5000000041451357,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2007-09-01,2007,9,10.17,12.74,NGN,0,89.17,91.01,87.33,88.47,9.7,2.02,0,0,3.680000000000007,-0.7000000000000028,4.1269,88.53,86.56,87.01,,88.17666666666666,86.96555555555557,1.7323041816545306,-0.0678,,858.1589999999999,-1.0,-5.3846893227178126e-09,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2007-10-01,2007,10,10.17,12.74,NGN,0,89.02,90.8,87.24,88.19,9.7,2.02,0,0,3.5600000000000023,-0.8299999999999983,3.9991,88.47,87.53,88.18,,88.39666666666666,87.08800000000001,1.6785033015556834,-0.3165,,855.4429999999999,-0.8660254067759328,0.4999999948185802,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2007-11-01,2007,11,10.17,12.74,NGN,0,88.64,90.38,86.78,86.78,9.7,2.02,0,0,3.5999999999999943,-1.8599999999999994,4.0614,88.19,88.53,88.13,,87.81333333333333,87.06,1.5950736660104434,-1.5988,,841.766,-0.5000000056995626,0.8660254004937946,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2007-12-01,2007,12,10.17,12.74,NGN,0,87.18,88.92,85.44,87.31,9.7,2.02,0,0,3.480000000000004,0.12999999999999545,3.9917,86.78,88.47,86.56,,87.42666666666666,87.08083333333333,1.52255442257312,0.6107,,846.9069999999999,-7.179586947861643e-09,1.0,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2008-01-01,2008,1,10.17,12.74,NGN,0,87.48,89.18,85.79,85.92,9.7,2.02,0,0,3.3900000000000006,-1.5600000000000023,3.8752,87.31,88.19,87.53,84.22,86.67,87.22250000000001,1.2941204454272133,-1.592,2.0185,833.424,0.499999999481858,0.8660254040835881,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2008-02-01,2008,2,10.17,12.74,NGN,0,86.29,87.97,84.61,87.76,9.7,4.4,0,0,3.3599999999999994,1.4699999999999989,3.8938,85.92,86.78,88.53,84.06,86.99666666666667,87.53083333333332,0.8295065163132008,2.1415,4.4016,851.2719999999999,0.8660254031861399,0.500000001036284,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2008-03-01,2008,3,10.17,12.74,NGN,0,87.86,89.72,86.13,89.72,9.7,3.12,0,0,3.5900000000000034,1.8599999999999994,4.086,87.76,87.31,88.47,87.01,87.8,87.75666666666665,1.0214991953303765,2.2334,3.1146,870.2839999999999,1.0,1.7948967369654108e-09,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2008-04-01,2008,4,10.17,12.74,NGN,0,90.15,91.95,88.35,89.76,9.7,1.8,0,0,3.6000000000000085,-0.39000000000000057,3.9933,89.72,85.92,88.19,88.18,89.08,87.88833333333334,1.1717960832013665,0.0446,1.7918,870.672,0.8660254049810362,-0.49999999792743216,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2008-05-01,2008,5,10.17,12.74,NGN,0,90.17,91.91,88.43,88.64,9.7,0.58,0,0,3.4799999999999898,-1.5300000000000011,3.8594,89.76,87.76,86.78,88.13,89.37333333333333,87.93083333333334,1.190457958734851,-1.2478,0.5787,859.808,0.5000000025907099,-0.8660254022886916,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2008-06-01,2008,6,10.17,12.74,NGN,0,89.05,90.77,87.32,89.36,9.7,3.23,0,0,3.450000000000003,0.3100000000000023,3.8742,88.64,89.72,87.31,86.56,89.25333333333333,88.16416666666665,1.17159920492022,0.8123,3.2348,866.7919999999999,3.5897934739308216e-09,-1.0,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2008-07-01,2008,7,10.17,12.74,NGN,0,89.65,93.64,87.95,93.64,9.7,6.99,0,0,5.689999999999998,3.989999999999995,6.3469,89.36,89.76,85.92,87.53,90.54666666666667,88.67333333333335,1.944003990518415,4.7896,6.9805,908.308,-0.4999999963730056,-0.8660254058784849,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2008-08-01,2008,8,10.17,12.74,NGN,0,93.92,96.03,90.33,90.33,9.7,2.03,0,0,5.700000000000003,-3.5900000000000034,6.069,93.64,88.64,87.76,88.53,91.11,88.82333333333334,2.0005605275128384,-3.5348,2.0332,876.2009999999999,-0.8660254013912434,-0.5000000041451357,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2008-09-01,2008,9,10.17,12.74,NGN,0,91.05,93.23,84.33,84.33,9.7,-4.68,0,0,8.900000000000006,-6.719999999999999,9.7748,90.33,89.36,89.72,88.47,89.43333333333334,88.47833333333334,2.386735440011327,-6.6423,-4.6796,818.001,-1.0,-5.3846893227178126e-09,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2008-10-01,2008,10,10.17,12.74,NGN,0,84.55,87.19,81.91,83.48,9.7,-5.34,0,0,5.280000000000001,-1.0699999999999932,6.2448,84.33,93.64,89.76,88.19,86.04666666666667,88.08583333333333,2.7914331878847185,-1.0079,-5.3407,809.756,-0.8660254067759328,0.4999999948185802,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2008-11-01,2008,11,10.17,12.74,NGN,0,83.35,85.78,80.84,80.84,9.7,-6.84,0,0,4.939999999999998,-2.509999999999991,5.9268,83.48,90.33,88.64,86.78,82.88333333333334,87.59083333333335,3.4846376056089707,-3.1624,-6.8449,784.148,-0.5000000056995626,0.8660254004937946,0
NGA,Nigeria,Adamawa,Girie,Gombi,gid_101700000127400000,2008-12-01,2008,12,10.17,12.74,NGN,0,80.89,83.18,78.59,79.72,9.7,-8.69,0,0,4.590000000000003,-1.1700000000000017,5.6744,80.84,84.33,89.36,87.31,81.34666666666666,86.95833333333333,4.163042666418911,-1.3855,-8.6932,773.2839999999999,-7.179586947861643e-09,1.0,0
